,hhid,Country code and phase,Cluster number,Household number,Respondent's line number,Ultimate area unit,Household sample weight,Month of interview,Year of interview,Date of interview,Number of household members,Number of eligible women in household,Number of eligible men in household,Number of de jure members,Number of de facto members,Number of children 5 and under (de jure),Result of household interview,Day of interview,Number of visits,Interviewer identification,Keyer identification,Ever-married sample,Primary sampling unit,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Place of residence,Household selected for male interview,Household weight for male subsample,Field supervisor,Field editor,Office editor,Number of eligible children for height and weight,Cluster altitude in meters,Total adults measured,Household selected for hemoglobin,Household selected for Domestic Violence module,Source of drinking water,Source of non-drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household
1,1  1,ZZ6,1,1,2,1,1049502,6,2015,1386,6,1,0,6,5,2,completed,28,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,unprotected well,NA,20,pit latrine without slab/open pit,no,no,49
2,1  2,ZZ6,1,2,1,1,1049502,6,2015,1386,7,0,4,7,7,0,completed,29,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,0,NA,4,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,25,ventilated improved pit latrine (vip),no,yes,63
3,1  3,ZZ6,1,3,1,1,1049502,6,2015,1386,3,1,1,3,3,1,completed,30,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,2,selected,household selected,unprotected spring,NA,120,no facility/bush/field,no,yes,23
4,1  4,ZZ6,1,4,3,1,1049502,6,2015,1386,7,2,1,7,7,1,completed,29,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,3,selected,household selected,tube well or borehole,NA,0,pit latrine without slab/open pit,no,yes,55
5,1  5,ZZ6,1,5,1,1,1049502,6,2015,1386,4,1,1,4,4,1,completed,30,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,2,selected,household selected,protected well,NA,10,pit latrine without slab/open pit,no,yes,25
6,1  6,ZZ6,1,6,1,1,1049502,6,2015,1386,6,2,1,6,6,1,completed,29,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,0,NA,3,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,120,pit latrine without slab/open pit,no,yes,45
7,1  7,ZZ6,1,7,1,1,1049502,6,2015,1386,3,1,1,3,3,1,completed,29,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,men's survey,1204911,221,222,1,1,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,4,pit latrine without slab/open pit,no,no,36
8,1  8,ZZ6,1,8,2,1,1049502,6,2015,1386,5,0,0,5,5,1,completed,29,1,226,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,no,38
9,1  9,ZZ6,1,9,1,1,1049502,6,2015,1386,5,1,0,4,5,1,completed,28,1,225,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,protected well,NA,15,pit latrine with slab,no,yes,69
10,1 11,ZZ6,1,11,1,1,1049502,6,2015,1386,3,1,0,3,3,0,completed,1,1,224,7,all woman sample,1,26,region 2 - rural,region 2,rural,NA,not selected,0,221,222,1,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,60,pit latrine without slab/open pit,no,yes,78
