,caseid,Country code and phase,Cluster number,Household number,Respondent's line number ,Ultimate area unit,Women's individual sample weight (6 decimals),Month of interview,Year of interview,Date of interview (CMC),Respondent's month of birth,Respondent's year of birth,Date of birth (CMC),Respondent's current age,Age in 5-year groups,Total children ever born,Sons at home,Daughters at home,Sons elsewhere,Daughters elsewhere,Sons who have died,Daughters who have died
1,1  1  2,ZZ6,1,1,2,1,1057703,6,2015,1386,6,1985,1026,30,30-34,6,3,1,0,0,2,0
2,1  3  2,ZZ6,1,3,2,1,1057703,6,2015,1386,4,1993,1120,22,20-24,1,0,1,0,0,0,0
3,1  4  2,ZZ6,1,4,2,1,1057703,6,2015,1386,4,1973,880,42,40-44,2,0,0,1,1,0,0
4,1  4  3,ZZ6,1,4,3,1,1057703,6,2015,1386,7,1989,1075,25,25-29,3,1,2,0,0,0,0
5,1  5  1,ZZ6,1,5,1,1,1057703,6,2015,1386,2,1990,1082,25,25-29,4,0,2,0,0,2,0
6,1  6  2,ZZ6,1,6,2,1,1057703,6,2015,1386,2,1978,938,37,35-39,2,0,1,0,1,0,0
7,1  6  3,ZZ6,1,6,3,1,1057703,6,2015,1386,6,1998,1182,17,15-19,0,0,0,0,0,0,0
8,1  7  2,ZZ6,1,7,2,1,1057703,6,2015,1386,6,1994,1134,21,20-24,1,0,0,0,1,0,0
9,1  9  5,ZZ6,1,9,5,1,1057703,6,2015,1386,4,1969,832,46,45-49,2,2,0,0,0,0,0
10,1 11  2,ZZ6,1,11,2,1,1057703,6,2015,1386,10,1977,934,37,35-39,5,0,0,4,1,0,0
11,1 13  3,ZZ6,1,13,3,1,1057703,6,2015,1386,4,1990,1084,25,25-29,1,0,0,1,0,0,0
12,1 15  1,ZZ6,1,15,1,1,1057703,6,2015,1386,3,1980,963,35,35-39,9,0,1,3,0,4,1
13,1 15  2,ZZ6,1,15,2,1,1057703,6,2015,1386,5,1995,1145,20,20-24,1,0,1,0,0,0,0
14,1 16  2,ZZ6,1,16,2,1,1057703,6,2015,1386,4,1982,988,33,30-34,7,3,1,0,0,2,1
15,1 19  2,ZZ6,1,19,2,1,1057703,6,2015,1386,3,1998,1179,17,15-19,1,1,0,0,0,0,0
16,1 20  2,ZZ6,1,20,2,1,1057703,6,2015,1386,8,1980,968,34,30-34,5,1,1,2,1,0,0
17,1 22  2,ZZ6,1,22,2,1,1057703,6,2015,1386,4,1980,964,35,35-39,2,1,1,0,0,0,0
18,1 23  2,ZZ6,1,23,2,1,1057703,6,2015,1386,6,1968,822,47,45-49,12,0,0,1,4,2,5
19,1 24  2,ZZ6,1,24,2,1,1057703,6,2015,1386,5,1979,953,36,35-39,3,2,1,0,0,0,0
20,1 24  4,ZZ6,1,24,4,1,1057703,6,2015,1386,4,1980,964,35,35-39,3,0,0,1,2,0,0
21,1 25  2,ZZ6,1,25,2,1,1057703,6,2015,1386,1,1975,901,40,40-44,8,2,1,2,2,0,1
22,1 25  3,ZZ6,1,25,3,1,1057703,6,2015,1386,1,1975,901,40,40-44,0,0,0,0,0,0,0
23,1 25  4,ZZ6,1,25,4,1,1057703,6,2015,1386,5,1997,1169,18,15-19,1,0,1,0,0,0,0
24,1 26  2,ZZ6,1,26,2,1,1057703,6,2015,1386,1,1975,901,40,40-44,4,3,1,0,0,0,0
25,1 26  8,ZZ6,1,26,8,1,1057703,6,2015,1386,7,1990,1087,24,20-24,2,0,1,1,0,0,0
26,1 27  4,ZZ6,1,27,4,1,1057703,6,2015,1386,8,1999,1196,15,15-19,0,0,0,0,0,0,0
27,1 28  2,ZZ6,1,28,2,1,1057703,6,2015,1386,5,1966,797,49,45-49,11,0,0,2,5,2,2
28,1 29  1,ZZ6,1,29,1,1,1057703,6,2015,1386,4,1980,964,35,35-39,2,0,0,0,1,1,0
29,1 30  2,ZZ6,1,30,2,1,1057703,6,2015,1386,3,1981,975,34,30-34,2,1,1,0,0,0,0
30,1 31  2,ZZ6,1,31,2,1,1057703,6,2015,1386,5,1978,941,37,35-39,6,0,4,0,1,0,1
31,2  2  2,ZZ6,2,2,2,2,909465,7,2015,1387,6,1980,966,35,35-39,3,0,1,1,0,1,0
32,2  3  1,ZZ6,2,3,1,2,909465,7,2015,1387,6,1972,870,43,40-44,9,2,1,4,1,0,1
33,2  3  2,ZZ6,2,3,2,2,909465,7,2015,1387,3,1996,1155,19,15-19,2,1,1,0,0,0,0
34,2  7  4,ZZ6,2,7,4,2,909465,7,2015,1387,4,1987,1048,28,25-29,3,0,0,0,1,0,2
